iteration,individual,fitness,c_inv,c_ele,penalty,is_feasible,c_inv_pu,c_ele_pu,weighted_investment,weighted_electrical_losses,topology_valid,repair_success,total_repair_changes,daily_losses_kwh_total,chromosome_key
1,11,2000.4135225142134,330646.94447575475,235011.3412918902,2000.0,False,0.3134742008071381,0.646968578827525,0.21943194056499665,0.1940905736482575,True,True,31,3250.763278820523,2_-1_4_1_4_4_-1_0_1_0_3_-1_2_3_2_0_2_5_1_5_-1_5_4_-1_-1_5_5_4_2_3_-1_4_4_5_2_4_2_1_-1_4_5_2_5_2_3_3_5_-1_4_2_3_3_2_3_5_1_2_-1_1_5_-1__-1_3_0_4_0_0_-1_1_4_2_3_3_-1_0_3_-1_5_4_2_3_-1_5_1_5_3_-1_1_4_4_5_-1_5_-1_1_2_3_5_3_5_4_3_1_4_-1_4_4_-1_1_-1_4_3_1_3_2_4_5_2_5_5_3_4__-1_4_2_4_-1_4_1_2_3_4_3_3_3_3_4_3_1_3_5_2_4_1_1_-1_-1_5_5_2_1_2_-1_1_4_4_5_3_-1_3_-1_4_-1_4_5_3_-1_5_2_4_5_1_1_-1_3_2_5_5_4_3_-1_1_5
1,12,1200.349838532595,316732.7602306265,169081.56977035996,1200.0,False,0.30028267474286297,0.46546886758282446,0.21019787232000406,0.13964066027484734,True,True,21,2782.295061209774,3_3_4_4_4_2_3_4_3_4_4_2_-1_4_-1_2_4_2_4_5_-1_1_-1_2_1_-1_2_2_-1_3_1_3_3_4_4_4_-1_3_3_1_1_4_-1_5_-1_1_3_5_-1_3_5_-1_2_1_3_2_3_3_4_2_3__-1_0_3_0_-1_-1_0_0_3_3_4_0_1_3_0_-1_3_4_1_3_1_-1_2_3_4_-1_3_3_5_5_3_2_3_4_3_3_5_-1_1_4_5_3_1_-1_1_3_3_1_2_2_3_-1_5_3_2_1_2_-1_3_2_-1__2_3_0_3_0_-1_1_2_-1_-1_0_4_4_3_0_-1_2_1_4_5_2_1_4_-1_-1_1_5_5_2_2_4_3_1_2_-1_3_4_4_5_4_1_3_5_5_-1_4_1_1_2_2_4_-1_-1_1_4_2_3_3_5_3_-1
1,13,1200.376612961054,326112.64400055696,193963.61726630936,1200.0,False,0.309175397381219,0.5339672762905955,0.2164227781668533,0.16019018288717865,True,True,31,3283.599490440656,-1_-1_2_4_2_3_-1_4_4_0_2_3_3_0_4_-1_4_1_-1_5_4_1_5_1_4_-1_4_3_-1_2_3_2_2_5_4_4_-1_5_1_2_2_5_4_4_4_1_-1_4_4_4_4_2_4_5_3_4_-1_5_3_5_-1__-1_4_-1_3_4_2_1_3_4_4_1_-1_4_3_3_0_5_4_3_4_-1_5_3_4_5_2_2_-1_4_2_5_-1_3_3_3_3_5_3_-1_1_2_1_5_1_3_-1_3_4_4_5_5_-1_2_5_2_3_1_2_-1_3_-1__2_-1_1_3_1_2_1_-1_0_2_4_0_1_3_2_2_5_2_3_5_-1_2_2_-1_-1_2_2_2_3_2_3_-1_3_1_4_4_5_-1_2_2_3_5_2_2_2_-1_5_4_4_-1_4_-1_3_2_4_3_2_2_5_4_-1
1,14,41800.69120901814,296363.3163346299,598792.4645502652,41800.0,False,0.2809711545462758,1.6484306998680354,0.19667980818239306,0.4945292099604106,True,True,16,7390.760420786561,3_-1_3_4_3_1_1_1_-1_-1_1_3_1_4_2_3_1_2_1_5_4_-1_-1_3_1_-1_5_4_3_3_-1_1_-1_1_3_3_2_2_1_4_2_2_-1_4_1_4_3_2_2_5_4_-1_2_5_1_1_3_-1_3_4_4__-1_0_4_4_1_-1_-1_3_2_2_0_3_3_1_-1_3_2_2_1_2_-1_2_-1_5_4_2_1_5_5_2_2_-1_-1_3_5_2_4_3_4_4_5_5_4_5_2_1_5_-1_1_5_2_2_1_4_4_2_-1_5_3_-1_5__4_1_2_4_-1_2_4_2_3_3_2_0_3_2_4_-1_5_3_4_-1_2_4_-1_5_-1_4_3_2_1_5_-1_1_-1_4_1_2_5_4_2_3_2_3_4_-1_4_-1_4_2_5_-1_5_4_4_4_4_4_-1_1_1_4_2
1,15,29400.41348347941,283724.61734625394,272669.1031731544,29400.0,False,0.2689888691182196,0.7506375700864911,0.18829220838275373,0.22519127102594733,True,True,22,5924.6182203458975,3_4_-1_-1_3_2_0_3_1_2_0_2_-1_2_3_2_2_5_4_1_-1_3_5_-1_4_5_1_1_-1_2_4_3_3_3_-1_-1_5_3_4_2_4_4_5_-1_4_2_4_5_2_1_3_4_4_4_5_1_-1_1_1_-1_4__0_0_-1_2_3_-1_3_1_4_-1_1_0_1_1_0_4_5_5_4_3_4_2_-1_4_-1_5_3_2_4_1_-1_2_-1_5_1_5_3_3_-1_5_-1_4_5_2_2_4_5_5_4_-1_-1_4_2_3_3_1_2_3_4_3_4__1_2_0_0_0_-1_-1_-1_2_3_4_3_4_1_4_0_3_1_5_1_2_-1_4_-1_3_-1_5_5_3_3_-1_1_-1_4_3_-1_1_3_1_5_4_2_3_2_1_2_2_4_-1_1_2_4_-1_5_1_1_3_4_2_3_1
1,16,2300.3952881350683,297407.5589404303,239642.47333237797,2300.0,False,0.2819611625344671,0.6597177376473781,0.19737281377412697,0.1979153212942134,True,True,23,3965.5285134522037,4_3_-1_1_-1_3_1_-1_0_-1_1_3_3_1_0_4_4_3_1_1_-1_5_3_1_1_4_2_5_-1_1_4_2_4_4_2_4_-1_1_5_-1_4_1_1_5_1_-1_2_1_3_3_-1_4_5_5_2_1_-1_2_5_2_4__-1_4_-1_0_0_4_4_-1_-1_3_3_2_-1_3_0_0_2_1_3_-1_1_1_5_2_5_-1_1_3_3_1_1_5_1_3_-1_1_3_4_5_4_2_2_5_1_-1_1_1_1_5_3_3_3_2_2_4_4_2_-1_1_-1_3__-1_4_-1_2_4_0_2_4_-1_3_3_3_1_1_1_-1_5_1_5_4_-1_3_2_4_4_2_-1_5_3_3_5_3_5_2_-1_5_5_1_4_5_-1_4_4_2_4_2_4_3_-1_3_3_-1_4_3_2_3_1_-1_1_4_1
1,17,1900.3626817122588,290596.9187079857,205634.30454518052,1900.0,False,0.27550424515016914,0.566095802178943,0.19285297160511838,0.1698287406536829,True,True,19,3492.751809785703,2_1_3_0_-1_-1_2_0_4_3_2_2_4_1_0_3_3_3_4_1_-1_2_4_-1_3_5_2_3_1_5_2_2_5_4_-1_1_-1_5_1_1_1_1_1_-1_3_2_3_5_-1_-1_4_3_3_4_1_5_2_-1_4_-1_3__4_3_-1_-1_2_0_3_2_4_-1_4_-1_2_-1_4_4_5_4_5_4_-1_1_2_5_5_-1_3_1_-1_4_2_1_1_4_-1_1_4_3_4_5_1_3_5_2_1_-1_5_3_3_1_5_2_2_2_1_5_1_4_-1_2_4__4_-1_0_2_1_2_2_1_0_4_4_3_-1_3_2_3_5_3_2_4_-1_3_-1_5_-1_1_5_2_5_3_-1_-1_2_4_-1_1_-1_1_1_5_5_3_-1_2_1_5_2_4_4_1_1_2_3_4_2_1_4_-1_1_2_4
1,18,37900.58133019072,288812.87756031833,471814.7649381667,37900.0,False,0.27381286138777333,1.2988706258340141,0.19166900297144132,0.38966118775020425,True,True,23,7093.518655587346,-1_2_0_2_0_4_3_0_-1_0_4_2_3_1_2_2_4_1_-1_2_3_5_2_-1_-1_4_1_3_3_3_-1_5_4_5_-1_3_4_1_5_4_3_1_1_1_1_2_5_-1_5_4_2_-1_5_5_4_4_2_3_-1_5_-1__1_-1_3_1_-1_1_0_0_1_0_3_2_0_2_-1_3_2_2_-1_1_5_2_-1_3_5_4_3_5_1_5_5_1_-1_2_4_3_5_5_1_1_3_3_1_-1_5_4_1_2_-1_1_-1_4_5_1_3_4_-1_2_3_5_-1__-1_-1_1_0_2_1_2_-1_-1_3_2_3_1_-1_1_0_1_4_1_-1_4_4_3_1_3_-1_4_3_5_3_5_2_-1_2_1_5_4_4_5_2_-1_1_4_1_-1_4_4_3_3_3_5_1_3_2_5_5_-1_2_1_2_2
1,19,13000.496117985842,278965.07270800514,376550.31218537607,13000.0,False,0.2644765199899175,1.036614739494874,0.18513356399294223,0.31098442184846214,True,True,19,5259.124699615438,-1_1_1_0_-1_0_3_3_4_2_0_3_-1_0_-1_-1_4_3_-1_2_3_3_4_1_3_4_-1_2_1_3_1_3_4_4_-1_4_5_3_1_4_1_2_4_2_2_-1_2_4_-1_5_5_-1_3_5_2_2_2_4_4_1_3__-1_-1_2_0_0_1_1_2_4_1_4_2_1_3_1_0_1_2_5_2_-1_3_-1_3_-1_4_5_3_3_1_1_-1_1_1_-1_1_5_4_4_5_4_2_-1_-1_5_5_3_5_2_2_2_-1_5_3_2_5_5_-1_3_5_4__2_1_3_4_-1_4_4_4_1_1_1_-1_2_2_1_3_4_1_1_3_1_-1_-1_-1_5_3_4_3_3_2_2_2_-1_2_2_5_3_2_2_3_3_1_-1_1_-1_4_5_5_-1_1_-1_1_3_2_4_4_5_3_-1_4_4
1,20,12200.351557591861,289502.2884634188,193044.45238443668,12200.0,False,0.2744664664958435,0.5314368843781697,0.19212652654709045,0.15943106531345091,True,True,30,3516.2640100120416,2_-1_0_3_0_1_-1_0_-1_3_1_0_2_0_-1_1_5_1_4_1_-1_2_3_-1_-1_4_3_4_3_5_3_3_4_3_2_3_-1_1_4_4_-1_4_5_1_2_-1_1_5_3_-1_4_1_5_5_5_5_4_5_4_1_2__3_-1_1_0_3_4_-1_2_4_-1_2_2_3_2_1_1_1_4_3_2_4_2_5_-1_3_4_-1_5_-1_1_5_4_-1_3_1_2_5_-1_4_4_5_4_5_-1_2_4_1_4_5_5_2_1_4_2_2_1_4_-1_5_1_-1__2_-1_1_4_4_0_2_3_-1_-1_1_-1_4_0_1_4_1_1_4_2_3_5_1_-1_3_1_3_-1_-1_5_2_2_2_2_4_4_3_4_-1_3_2_3_1_3_5_1_5_-1_5_1_-1_3_3_5_2_3_4_5_-1_3_2
