iteration,individual,fitness,c_inv,c_ele,penalty,is_feasible,c_inv_pu,c_ele_pu,weighted_investment,weighted_electrical_losses,topology_valid,repair_success,total_repair_changes,daily_losses_kwh_total,chromosome_key
1,1,0.19110371930068057,287961.0903591578,0.0,0.0,True,0.27300531328668654,0.0,0.19110371930068057,0.0,True,True,27,,4_0_3_3_4_-1_1_3_3_-1_3_-1_0_4_-1_2_5_1_5_2_-1_3_1_4_2_3_3_-1_5_2_3_1_5_2_5_2_1_3_1_3_4_3_-1_4_-1_1_1_1_-1_-1_2_1_2_5_4_3_3_3_-1_5_4__2_4_1_-1_3_1_0_0_3_-1_4_-1_0_4_0_1_3_4_2_4_1_-1_-1_3_1_1_2_3_3_3_1_5_2_1_-1_4_1_2_2_3_-1_1_5_5_-1_1_3_2_-1_3_1_-1_4_5_2_2_2_1_-1_2_3__-1_4_-1_3_3_-1_1_-1_4_2_4_3_4_3_0_1_3_5_-1_3_1_3_4_4_2_4_3_3_-1_1_4_3_4_3_-1_-1_3_4_1_2_2_1_1_-1_4_3_3_1_3_-1_-1_3_2_5_2_5_3_3_2_5_4
1,2,0.20151540984755995,303649.75289975567,0.0,0.0,True,0.28787915692508564,0.0,0.20151540984755995,0.0,True,True,19,,4_1_-1_1_2_4_0_-1_-1_-1_4_4_-1_3_0_0_2_3_1_5_2_2_-1_4_4_-1_2_1_5_3_-1_2_4_3_1_2_1_-1_4_1_3_1_-1_5_2_3_5_5_4_5_3_3_5_5_4_1_2_-1_2_1_5__-1_0_1_3_4_3_-1_-1_-1_0_3_-1_0_2_2_-1_3_3_1_5_5_2_-1_5_2_4_3_-1_2_3_-1_5_2_2_5_2_3_3_3_4_3_5_5_4_-1_2_5_3_1_4_3_5_4_1_4_5_2_-1_4_2_5__2_0_-1_3_4_2_2_4_1_-1_1_2_0_4_0_1_4_5_-1_3_1_4_4_3_4_-1_3_1_2_4_1_-1_4_2_-1_5_5_4_-1_-1_4_2_3_2_4_5_1_1_-1_-1_2_1_-1_5_4_4_2_3_3_3_4
2,1,0.19110371930068057,287961.0903591578,0.0,0.0,True,0.27300531328668654,0.0,0.19110371930068057,0.0,True,True,0,,4_0_3_3_4_-1_1_3_3_-1_3_-1_0_4_-1_2_5_1_5_2_-1_3_1_4_2_3_3_-1_5_2_3_1_5_2_5_2_1_3_1_3_4_3_-1_4_-1_1_1_1_-1_-1_2_1_2_5_4_3_3_3_-1_5_4__2_4_1_-1_3_1_0_0_3_-1_4_-1_0_4_0_1_3_4_2_4_1_-1_-1_3_1_1_2_3_3_3_1_5_2_1_-1_4_1_2_2_3_-1_1_5_5_-1_1_3_2_-1_3_1_-1_4_5_2_2_2_1_-1_2_3__-1_4_-1_3_3_-1_1_-1_4_2_4_3_4_3_0_1_3_5_-1_3_1_3_4_4_2_4_3_3_-1_1_4_3_4_3_-1_-1_3_4_1_2_2_1_1_-1_4_3_3_1_3_-1_-1_3_2_5_2_5_3_3_2_5_4
2,2,0.18927079805619476,285199.18702187034,0.0,0.0,True,0.2703868543659925,0.0,0.18927079805619476,0.0,True,True,3,,4_0_3_3_4_-1_1_3_3_-1_3_-1_0_4_-1_2_2_1_5_2_-1_3_1_4_2_3_3_-1_5_2_3_1_5_2_5_2_1_3_1_3_4_3_-1_4_-1_1_1_1_-1_-1_2_1_2_5_4_3_3_3_-1_5_4__4_4_2_-1_-1_1_0_0_3_-1_4_-1_0_4_-1_1_3_4_2_4_1_5_-1_3_1_1_2_3_3_3_1_5_2_1_4_4_1_2_2_3_-1_1_5_5_-1_1_3_3_-1_3_1_-1_4_5_2_5_2_1_-1_2_3__-1_4_-1_3_3_-1_1_-1_4_2_4_0_4_3_0_1_3_5_-1_3_1_3_4_4_2_4_3_3_-1_1_4_3_4_3_-1_-1_1_4_1_2_1_1_1_-1_4_3_3_1_1_-1_-1_3_2_5_2_5_3_3_2_5_4
