Line,Imax_A,Max_Current_24h_A,Hour_Max,Overloaded
ln000,250.0,64.56688551337714,17,False
ln001,300.0,84.704167714822,18,False
ln002,600.0,81.33925103349168,18,False
ln003,600.0,35.7541132455536,17,False
ln004,250.0,37.27105482173744,18,False
ln005,200.0,32.38391011737309,17,False
ln006,150.0,16.869410741432578,17,False
ln007,250.0,3.3595906736931536,9,False
ln008,200.0,10.09672499635242,9,False
ln010,150.0,18.53254534123046,17,False
ln011,150.0,58.568355385834,17,False
ln012,150.0,21.86985324955667,17,False
ln015,150.0,16.901214499276644,17,False
ln016,300.0,8.539450519780694,17,False
ln017,150.0,25.615912915483143,17,False
ln018,250.0,49.50747956594307,17,False
ln019,600.0,57.81236014159567,17,False
ln020,200.0,8.533874050280936,17,False
ln022,200.0,169.21348817001348,17,False
ln023,200.0,148.91266825536522,17,False
ln024,150.0,15.205156007319106,8,False
ln025,200.0,8.461141815266233,17,False
ln027,200.0,10.106134115809555,9,False
ln029,250.0,1.8189894035458565e-11,1,False
ln030,600.0,2.9999541770795335e-11,4,False
ln032,150.0,76.10153973709754,17,False
ln033,150.0,10.11300569520987,17,False
ln034,300.0,32.09974833656141,17,False
ln036,200.0,17.07895522259919,17,False
ln037,250.0,24.249716964012293,17,False
ln038,150.0,32.099748336563366,17,False
ln039,150.0,15.994128515284611,9,False
ln040,150.0,15.994128515270063,9,False
ln041,250.0,1.3116919128020487e-11,12,False
ln042,200.0,27.53940422495502,17,False
ln044,250.0,58.19588781620768,17,False
ln045,200.0,73.40887661909682,17,False
ln046,600.0,73.40887661910952,17,False
ln047,150.0,76.77720901431525,17,False
ln048,300.0,6.724870619667127,17,False
ln049,250.0,66.57407943680005,17,False
ln050,600.0,55.63202448374757,17,False
ln051,200.0,38.78960211942191,17,False
ln052,300.0,8.409282226281075,9,False
ln053,600.0,8.409282226282675,9,False
ln054,600.0,2.9999541770795335e-11,4,False
ln055,200.0,1.626953582672133e-11,10,False
ln057,300.0,8.413054235763955,17,False
ln058,250.0,8.413054235769529,17,False
ln060,150.0,8.463790148998417,9,False
