Hour,ln000,ln001,ln002,ln003,ln004,ln005,ln006,ln007,ln008,ln010,ln011,ln012,ln015,ln016,ln017,ln018,ln019,ln020,ln022,ln023,ln024,ln025,ln027,ln029,ln030,ln032,ln033,ln034,ln036,ln037,ln038,ln039,ln040,ln041,ln042,ln044,ln045,ln046,ln047,ln048,ln049,ln050,ln051,ln052,ln053,ln054,ln055,ln057,ln058,ln060
0,33.41670116473074,38.21913312723106,36.87688229192742,14.86108109553846,17.31644107024147,13.35024169148501,7.557326099066483,0.6707551382765455,2.015033183746089,8.309178505451266,25.003741978239926,9.81249801864681,7.563836417347057,3.7991819498925152,11.397252389729875,22.031400108923986,26.88047113752373,3.7980872466208493,73.63535180466796,66.48940571912138,5.4649046123232194,3.783503852535958,2.0151996723031216,9.094947017729282e-12,7.275957614183426e-12,34.19746771562147,4.532694598554835,14.368766225604862,7.597868965630191,9.62366710999343,14.368766225609948,6.31171493791712,6.311714937924252,8.134767913360665e-12,12.369066821874629,26.182157245733542,32.989981744743574,32.98998174474409,34.50040211489098,3.0184752978736578,28.87465516574648,24.93182222229106,17.379896558656128,1.6777746172068662,1.6777746172350605,2.0579515874459978e-11,1.4665161412810538e-11,3.774311385321983,3.7743113853398453,1.6832093972445714
1,29.71561793266047,34.09318658272235,32.88549536702695,13.227299656162536,15.430151638326556,11.88478026257703,6.715013955763648,0.6035491866601543,1.812853709289371,7.383456372488119,22.248397235208113,8.719999282624684,6.720153001735848,3.3737691019759652,10.121109062649829,19.564881372865592,24.114935125089943,3.372906190089217,65.74239180438087,59.356365124125944,4.873835872707976,3.361351052962296,1.8129863842843852,1.8189894035458565e-11,3.637978807091713e-12,30.406889486490904,4.027653610613572,12.766296526703478,6.747172755713362,8.568669240441478,12.766296526708413,5.845366942099003,5.845366942105602,8.134767913360665e-12,11.226611025274284,23.51941624273881,29.567945588060077,29.567945588070053,30.910136411323922,2.682500734540804,25.67614481372912,22.15375123878611,15.443000045348622,1.5095684170559012,1.5095684170566797,1.0913936421275139e-11,8.134767913360665e-12,3.354054438730027,3.3540544387403446,1.5139790056468345
2,47.83308452226797,51.90067404643484,50.777690302613784,12.563369279026892,34.6175672649389,11.287192578343708,6.38063740377147,0.570179961747359,1.7138213576303158,7.018380643509519,41.09595942573726,8.286228904718884,6.388719539290945,3.213405596319826,9.640050579415274,18.635076224564266,23.070454921419774,3.21262348676412,102.05396575940522,96.09931781078448,4.6278333881890825,3.197495154914527,1.7132787539366499,1.0913936421275139e-11,1.626953582672133e-11,48.49131688645374,3.829215461023382,12.136763736938136,6.431163945343534,8.157178525001804,12.13676373694547,5.644768386628968,5.644768386633053,7.499885442698834e-12,10.76578172345873,42.2373315694301,47.87112526658051,47.87112526658323,49.12437692047414,2.549097426581,24.389624552739793,21.05087763551618,14.674087560961077,1.4260669766668372,1.4260669766612093,1.8189894035458565e-11,1.8189894035458565e-12,3.187196222538916,3.1871962225396695,1.4323128896735253
3,47.105648049926124,51.285754264603156,50.16327176001411,12.277052967603733,34.29143547467638,11.034531423652224,6.212273033067364,0.5701576690432094,1.7137126969859988,6.833254686968675,40.5945514340632,8.067790074839241,6.220020244696368,3.1282780364537426,9.384683649195862,18.14148811352732,22.533941293017303,3.1275365233254226,100.61676879114859,94.74835003314112,4.543263874588258,3.113057241917899,1.7131675834836233,7.275957614183426e-12,1.0913936421275139e-11,47.74581873940383,3.7282012406646734,11.816327882471827,6.260822546741918,7.986538974234415,11.816327882470276,5.6020572220397025,5.602057222033047,7.499885442698834e-12,10.58779566903945,41.76480713291969,47.24695565016035,47.24695565016246,48.466555664587354,2.481916387738006,23.783793637326674,20.495548368169764,14.286923131402883,1.4259941370419593,1.4259941370353284,2.0579515874459978e-11,1.0289757937229989e-11,3.103170043608172,3.103170043603382,1.4321629289949915
4,47.83346340514526,52.39783253885751,51.208426597768764,12.664454995614697,34.715592931696456,11.388251423646627,6.380698640961828,0.6037253312379293,1.8146808242093289,7.018436170472957,41.196064756049005,8.286294773547434,6.38876987929795,3.2134831146474356,9.640283213743151,18.635526358916557,23.113255707681944,3.212701132264104,102.36354622741248,96.24289606106227,4.712071792795002,3.1975634862785958,1.814108176209943,9.094947017729282e-12,2.9999541770795335e-11,48.491700232702385,3.829245746144232,12.136859420020683,6.431357423510241,8.258957724807718,12.136859420024395,5.7713266381652195,5.771326638168664,7.275957614183426e-12,10.892461834605996,42.361618029943884,47.99618021148698,47.99618021148476,49.24956405417123,2.549117709777623,24.473750328503648,21.05107979294563,14.6742284269531,1.5099722018680934,1.509972201866975,2.9999541770795335e-11,1.8189894035458565e-12,3.187221550913353,3.187221550924667,1.516617534806904
5,33.41794051638515,40.741647392400985,39.06371041552872,15.366691319341516,17.822210064607944,13.855696491920199,7.557665849970517,0.8384779123189803,2.519102980831867,8.309484684272498,25.513254858277257,9.812862609747539,7.564106650546367,3.7995471577771593,11.398349661246478,22.033530318122754,26.967432793868756,3.7984554449677903,75.0745957098525,67.087327348201,5.885807988135603,3.7838679049672104,2.5193237327245157,8.134767913360665e-12,1.4551915228366852e-11,34.198709642368705,4.532860434282922,14.369281396066985,7.598845455909226,10.131382939136639,14.36928139607105,6.859682479541162,6.859682479531355,3.637978807091713e-12,12.917665404950194,26.731955452541918,33.5402944812503,33.54029448126381,35.05078992111,3.0185877694428966,29.29544842306935,24.932946634021878,17.380678921490123,2.097340642651902,2.097340642653479,2.9330322825621076e-11,8.134767913360665e-12,3.774451520369275,3.774451520347104,2.104313706701181
6,41.3348888821022,53.83433559381638,50.8164073120103,21.692340198053586,21.724859063315126,19.67543178380079,10.089443468504873,1.510355035216701,4.539967250922321,11.090471447660587,35.24465550797959,13.094619341446949,10.100670368838163,5.081882830114259,15.24498409864583,29.467826582175938,35.387877537287466,5.079942253107956,102.72909966579138,90.09583565831934,8.844366273782105,5.054197800375193,4.540857901578188,1.3116919128020487e-11,7.275957614183426e-12,45.591166230989444,6.050503701667928,19.186806936636554,10.164058200001202,14.736994093213378,19.186806936644494,9.488580501364572,9.488580501362838,3.637978807091713e-12,17.581331829976804,35.96959989868266,45.06156271851483,45.06156271854309,47.07755322904036,4.02768276667551,40.083950965712184,33.28205514639407,23.202205598418935,3.7789071346931156,3.778907134697447,1.626953582672133e-11,7.499885442698834e-12,5.036911976420515,5.0369119764054355,3.7957768510531293
7,49.213473373183064,71.92135379550908,66.89813209841527,29.05321254105967,26.630984751058715,26.528619226201876,12.629379968097606,2.5193815919776767,7.578184332829909,13.878715967330997,46.07879741042483,16.38367283341391,12.646685771818495,6.375154723960141,19.124253760804713,36.96431523976039,43.96377982233891,6.372060270115757,133.3862883412442,114.39814396895797,12.661149226468076,6.331101511953577,7.580606847973293,7.275957614183426e-12,3.637978807091713e-12,57.01910583637567,7.572458150274847,24.021671408954035,12.752322464781574,20.401776988061012,24.021671408961023,13.105408340087294,13.10540834008348,7.499885442698834e-12,23.243753979525984,46.22814667088117,57.61344977183016,57.61344977184568,60.1363121438018,5.038795886440966,51.74434783684725,41.65626944173262,29.041996134673532,6.3053595776327995,6.305359577629642,2.300859821966427e-11,5.4569682106375694e-12,6.302262020884933,6.302262020867553,6.342120268847197
8,53.273430171064014,67.8732361416859,61.70863942347071,33.95684610764338,17.84407634589382,31.09442238093177,14.3247955583433,3.1926251921425766,9.600831658049945,15.73870744952801,38.4774018189817,18.577531863276793,14.346845189678685,7.233456493544752,21.698721275366836,41.938949288719044,49.79380293141805,7.229464036596072,138.56896495541704,115.38483233699012,15.205156007319106,7.180930575811687,9.607989141753073,7.499885442698834e-12,1.0289757937229989e-11,64.64683190453097,8.588103542203106,27.249953909017197,14.461677825284676,24.156747017809014,27.249953909011072,15.66599519343263,15.66599519342702,7.499885442698834e-12,27.171768568540077,53.22749856365588,66.1446999143726,66.1446999143722,69.00577061032986,5.713108882312885,59.52661371089241,47.24516426132814,32.93982110380942,7.991884164849054,7.9918841648600125,1.9591115441051456e-11,5.1448789686149945e-12,7.146316836861685,7.1463168368566174,8.045904758218931
9,41.34704802590936,53.47185984292551,47.64015628583019,32.43295104456391,16.78996005735683,29.808151684874712,13.137858516175616,3.3595906736931536,10.09672499635242,14.43351833417918,33.780585805198314,17.04117022347748,13.156154650419667,6.628451723130992,19.884018412072034,38.43242039279219,45.98080343928048,6.625097146437037,127.75992427057831,104.360052002509,15.025508148369193,6.584858569879137,10.106134115809555,7.499885442698834e-12,1.626953582672133e-11,59.304941896597626,7.876828206295445,24.989067074769842,13.25200112966155,23.443141723991126,24.989067074767213,15.994128515284611,15.994128515270063,7.499885442698834e-12,26.545066901907852,50.45462990762657,62.300830308857215,62.300830308895655,64.92518394926127,5.240893551651392,55.676520734025004,43.332496907370825,30.2110186906208,8.409282226281075,8.409282226282675,2.1827872842550278e-11,8.134767913360665e-12,6.555221959028207,6.555221959015494,8.463790148998417
10,26.454908066168205,40.58718500747199,38.49127534628368,29.90503587446957,26.915291518414385,27.552127472905493,11.781871518913928,3.290905498772228,9.880282025661634,12.94188127932452,28.981500663493147,15.28549490635504,11.796490544543204,5.938877064402872,17.81560238006794,34.43539951664589,41.634088351988886,5.936166767106714,114.74064616089251,92.39240628758381,14.168246858734827,5.9039966316270736,9.89205253173357,7.275957614183426e-12,1.626953582672133e-11,53.203134840036405,7.064264582781325,22.40717298597731,11.873271734333766,21.84429888234111,22.407172985982363,15.470856457202853,15.470856457199574,7.275957614183426e-12,24.930441226482724,46.387421027906484,57.00974591999579,57.00974592001628,59.36357127376707,4.701210326968621,50.62784910406683,38.86209468275972,27.093435310937622,8.236513591585606,8.23651359158061,1.9591115441051456e-11,1.626953582672133e-11,5.87977081103394,5.879770811019067,8.286153721700577
11,23.248229853772376,42.142411195167135,42.09065916868901,29.01745376734793,32.674413033578,26.73273851819677,11.442705134989138,3.1896747923185953,9.572454433081505,12.568628815824864,26.808498508907498,14.846299866918548,11.456519710785539,5.766062226593883,17.29722811818136,33.4336534067498,40.544109435255145,5.763501172573694,109.89313887819358,88.24203417222732,13.742074304851707,5.733423766417428,9.58488401613342,3.637978807091713e-12,1.4999770885397668e-11,51.6771392938871,6.861035173200545,21.761569894436,11.527126177469434,21.187154482052684,21.761569894433606,15.04295491013824,15.0429549101278,3.637978807091713e-12,24.22934885016827,45.07253391770954,55.388603625750505,55.388603625768376,57.674744213628664,4.56619483533739,49.1545259732217,37.74385847126885,26.31362836219432,7.982875463217875,7.9828754632184475,2.329443027495599e-11,1.4665161412810538e-11,5.710805313831682,5.710805313809038,8.02968806808947
12,23.991471334429452,39.40384585843213,37.559185359783285,29.668646057568406,18.729594741973866,27.248517662113287,12.119471048537967,3.022359542002762,9.0753493994841,13.310701063093584,46.059783473714326,15.723049282915346,12.135025420724372,6.116933577354721,18.349710728163597,35.46761005305357,42.67596482506428,6.114089526699653,133.37480606608858,112.11477990881613,13.670046123770918,6.076116015818052,9.084195338062221,7.499885442698834e-12,1.4551915228366852e-11,54.7229722145458,7.266696432906733,23.050076959116204,12.237158483485725,21.412781129553203,23.05007695911175,14.709354422444575,14.709354422454002,1.3116919128020487e-11,24.43937048348319,46.504812672167766,57.431092933600205,57.43109293360565,59.85226869462277,4.835725820226246,51.16977866386894,39.9752239444739,27.869656527919286,7.564316852752535,7.564316852760667,1.626953582672133e-11,7.499885442698834e-12,6.048103561206429,6.048103561215514,7.609352778281036
13,23.054217666343405,39.313500993948985,37.47248675044861,29.296432074634343,18.842767497446776,26.94369891702542,11.781339106695869,3.0893392430464006,9.276331640936267,12.939540857239502,45.231827726569165,15.285114634517752,11.79595924308018,5.94519689243978,17.834574218900034,34.47214087351947,41.6786419070183,5.942507893739332,131.06554904570055,109.63986780833879,13.668106617087885,5.906493615634539,9.285366442227808,8.134767913360665e-12,3.637978807091713e-12,53.20118314371663,7.064032546517642,22.406203222400805,11.893850259651762,21.27076159067344,22.406203222405747,14.876320824853718,14.87632082485273,8.134767913360665e-12,24.334586590706376,45.78910367044096,56.41042125727171,56.41042125727578,58.764137592308664,4.701102196208707,50.12136592807391,38.86043278584726,27.092237521979932,7.731824422926982,7.731824422943546,1.4999770885397668e-11,1.0289757937229989e-11,5.879621394126143,5.879621394121127,7.777360045163042
14,22.17650235089473,39.411492510417965,37.48551225151379,29.02588021300433,18.93945373427635,26.74048700369766,11.443388365345687,3.1899129613729476,9.578339721430075,12.568546891204544,44.50708032357549,14.847348196850092,11.457084232945848,5.773637848899588,17.319968118673856,33.47768399147261,40.5976590695636,5.77109946151042,128.945407048004,107.1851258028193,13.750745569800781,5.73701357069413,9.58767074912737,7.499885442698834e-12,1.0913936421275139e-11,51.680141859798894,6.86146154418951,21.762682747421017,11.550975959848905,21.23115132120421,21.762682747418033,15.128118423394088,15.1281184234001,7.499885442698834e-12,24.314879186105326,45.15896588477936,55.47553774003116,55.4755377400267,57.76182640144899,4.566526541002928,49.15766624941249,37.746209972013894,26.315227111415357,7.983431223480837,7.983431223489736,2.2128961173796485e-11,8.134767913360665e-12,5.711205306966378,5.711205306966688,8.030044046570328
15,25.448145192646624,42.84725671602007,38.85773594765863,30.691401129131986,16.3470770138053,28.270300984228218,12.121035159775246,3.358588382063239,10.089043547416475,13.31316148842332,47.09377125171848,15.724823366461791,12.136385795353496,6.118485117721357,18.354365858699783,35.476611861728244,42.771628384722,6.115641711678783,136.20273464928832,113.2503607308559,14.517302716156857,6.077572210643471,10.098163653188479,7.499885442698834e-12,1.0289757937229989e-11,54.72912340141451,7.2675141553669755,23.052662351282226,12.241077332916358,22.43949844474163,23.05266235128294,15.728771810454425,15.728771810457324,8.134767913360665e-12,25.4611289964187,47.5311683373547,58.45948320172453,58.4594832017438,60.880989768467614,4.83627199945373,52.017226893502354,39.98038792140823,27.873254659767106,8.406131133062907,8.406131133070293,2.9999541770795335e-11,7.499885442698834e-12,6.048785787779514,6.048785787781991,8.457591816590247
16,39.62493749502782,53.6941309353606,48.38801690762525,33.433541365510294,17.463774555569856,30.5725571139737,14.322876257976954,3.0242299037600775,9.09068068407996,15.732317351485515,52.80739239116846,18.57539494262669,14.344903384779183,7.239036941913825,21.715481347027918,41.97144454963041,49.74747314021557,7.2350761265622605,152.56240343212053,130.17639768689963,14.786502500505083,7.1827341304514665,9.097372980995287,7.499885442698834e-12,0.0,64.63862925709206,8.587047455071678,27.24631361292419,14.481091969856937,23.67813029776372,27.246313612926656,15.238688167481593,15.238688167484803,5.1448789686149945e-12,26.742035807831947,52.792781181027046,65.7077289147041,65.70772891472744,68.56841926563207,5.712462442111601,59.09814309914487,47.23894960573393,32.93543982659946,7.570168723227962,7.570168723249634,1.626953582672133e-11,7.499885442698834e-12,7.145490756919666,7.145490756920681,7.620437475765835
17,64.56688551337714,78.75842082026853,74.08239564861225,35.7541132455536,31.448234461663677,32.38391011737309,16.869410741432578,2.353618036849069,7.0819472286635365,18.53254534123046,58.568355385834,21.86985324955667,16.901214499276644,8.539450519780694,25.615912915483143,49.50747956594307,57.81236014159567,8.533874050280936,169.21348817001348,148.91266825536522,14.382610348178265,8.461141815266233,7.0849294126626,7.499885442698834e-12,1.0289757937229989e-11,76.10153973709754,10.11300569520987,32.09974833656141,17.07895522259919,24.249716964012293,32.099748336563366,13.987002437888124,13.987002437891729,7.499885442698834e-12,27.53940422495502,58.19588781620768,73.40887661909682,73.40887661910952,76.77720901431525,6.724870619667127,66.57407943680005,55.63202448374757,38.78960211942191,5.892193439868488,5.892193439875587,1.9591115441051456e-11,9.094947017729282e-12,8.413054235763955,8.413054235769529,5.934653359720993
